persid,hhid,persno,primary_mode_raw,travel_mode_3,agegroup,sex,relationship,studying,anywork,anzsco1,anzsco2,emptype,persinc,hhinc_group,totalvehs,owndwell,homelga,homesubregion_asgs_person,homeregion_asgs_person,homesubregion_asgs_hh,homeregion_asgs_hh,perspoststratweight,hhpoststratweight,travdow_person,fulltimework,parttimework,casualwork,activities,mainact,anzsic1,anzsic2,startplace,numstops,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight_group_1,perspoststratweight_group_2,perspoststratweight_group_3,perspoststratweight_group_4,perspoststratweight_group_5,perspoststratweight_group_6,perspoststratweight_group_7,perspoststratweight_group_8,perspoststratweight_group_9,perspoststratweight_group_10,daytype_person,surveyperiod,hhsize,dwelltype,totalbikes,travmonth,travdow_hh,youngestgroup_5,aveagegroup_5,oldestgroup_5,hhpoststratweight_group_1,hhpoststratweight_group_2,hhpoststratweight_group_3,hhpoststratweight_group_4,hhpoststratweight_group_5,hhpoststratweight_group_6,hhpoststratweight_group_7,hhpoststratweight_group_8,hhpoststratweight_group_9,hhpoststratweight_group_10,daytype_hh
Y24H5740102P02,Y24H5740102,2,Vehicle Driver,Private,25->29,Male,Spouse,No Study,Yes,Professionals,Design Engineering Science and Transport Professionals,Paid Employee,"$800-$999 ($41,600-$51,999)","$1,250-$1,499 ($65,000-$77,999)",2,Being Rented,Casey (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,652.818030841,806.3371724,Tuesday,No,No,Yes,No other activity,Casual Work,Manufacturing,Transport Equipment Manufacturing,At Home,4,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,640.158011458,713.51426712,910.939336777,634.256722418,845.843572353,0.0,654.419865511,680.66578309,582.226925115,1073.240943576,Weekday,2023-24,2,"Unit, Flat or Apartment",0,July,Tuesday,25->29,25->29,30->34,808.9794086,859.2155527,963.2556495,794.4745554,1004.367427,0.0,819.0426596,845.2074985,772.5439056,1371.00968,Weekday
Y24H5740109P02,Y24H5740109,2,Vehicle Driver,Private,45->49,Female,Spouse,No Study,Yes,Clerical and Administrative Workers,CLERICAL AND ADMINISTRATIVE WORKERS(NEC),Paid Employee,"$1,000-$1,249 ($52,000-$64,999)","$2,000-$2,499 ($104,000-$129,999)",1,Being Purchased,Casey (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,760.235357962,876.2877141,Tuesday,Yes,No,No,No other activity,Full-time Work,Public Administration and Safety,Public Order Safety and Regulatory Services,At Home,2,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,674.810449369,1050.547465463,946.876592053,763.30741632,953.232092472,0.0,776.158947923,785.896037773,768.616963531,910.15866419,Weekday,2023-24,5,Separate House,5,July,Tuesday,10->14,25->29,45->49,827.2122719,1081.45325,1024.434533,939.2885086,1086.536723,0.0,891.0804774,914.8383325,837.5231274,1134.029424,Weekday
Y24H5740109P03,Y24H5740109,3,School Bus,Public,15->19,Male,Child,Secondary,No,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$2,000-$2,499 ($104,000-$129,999)",1,Being Purchased,Casey (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,836.421799855,876.2877141,Tuesday,No,No,No,No other activity,Secondary School,Not in Work Force,Not In Work Force,At Home,4,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Concession,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,789.842546446,985.666730057,915.362566306,855.892999934,1041.146316736,0.0,855.392342371,976.394928158,758.290320383,1212.498654258,Weekday,2023-24,5,Separate House,5,July,Tuesday,10->14,25->29,45->49,827.2122719,1081.45325,1024.434533,939.2885086,1086.536723,0.0,891.0804774,914.8383325,837.5231274,1134.029424,Weekday
Y24H5740109P04,Y24H5740109,4,School Bus,Public,10->14,Male,Child,Secondary,Not applicable,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$2,000-$2,499 ($104,000-$129,999)",1,Being Purchased,Casey (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,1756.87073088,876.2877141,Tuesday,Not applicable,Not applicable,Not applicable,No other activity,Secondary School,Not in Work Force,Not In Work Force,At Home,4,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Concession,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,1673.514489591,1932.773136846,2182.06717457,2012.068069028,2003.141789526,0.0,1840.844873521,1689.553447371,1853.659127454,2215.011282585,Weekday,2023-24,5,Separate House,5,July,Tuesday,10->14,25->29,45->49,827.2122719,1081.45325,1024.434533,939.2885086,1086.536723,0.0,891.0804774,914.8383325,837.5231274,1134.029424,Weekday
Y24H5740109P05,Y24H5740109,5,Walking,Active,10->14,Female,Child,Primary,Not applicable,Not in Work Force,Not in Work Force,Not in Work Force,Nil income,"$2,000-$2,499 ($104,000-$129,999)",1,Being Purchased,Casey (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,693.990554016,876.2877141,Tuesday,Not applicable,Not applicable,Not applicable,No other activity,Primary School,Not in Work Force,Not In Work Force,At Home,2,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not applicable,N/A - Did nou use a car,N/A - Did nou use a car,N/A - Did nou use a car,619.462272664,896.975860126,814.887305894,952.938242084,795.816833529,0.0,706.597572983,664.960476998,644.147997989,810.172235452,Weekday,2023-24,5,Separate House,5,July,Tuesday,10->14,25->29,45->49,827.2122719,1081.45325,1024.434533,939.2885086,1086.536723,0.0,891.0804774,914.8383325,837.5231274,1134.029424,Weekday
Y24H5740110P03,Y24H5740110,3,Vehicle Passenger,Private,25->29,Female,Child,No Study,Yes,Professionals,Health Professionals,Paid Employee,"$1,750-$1,999 ($91,000-$103,999)","$1,750-$1,999 ($91,000-$103,999)",1,Being Rented,Casey (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,603.756453587,672.6834138,Wednesday,No,No,Yes,No other activity,Casual Work,Health Care and Social Assistance,Health Care and Social Assistance (NEC),At Home,4,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,576.219382122,847.041936306,876.067408265,633.186924433,706.676290387,0.0,582.255015446,540.030269288,572.217503578,763.659271269,Weekday,2023-24,3,Separate House,1,July,Wednesday,25->29,45->49,60->64,653.7350676,854.9008994,834.3956346,683.3100541,776.5464088,0.0,657.0576376,619.7356591,660.9241725,967.732619,Weekday
Y24H5740111P01,Y24H5740111,1,Vehicle Driver,Private,65->69,Female,Self,No Study,Yes,Clerical and Administrative Workers,Office Managers and Program Administrators,Paid Employee,"$1,500-$1,749 ($78,000-$90,999)","$4,000-$4,499 ($208,000-$233,999)",2,Being Purchased,Casey (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,348.746406172,749.463904,Thursday,Yes,No,No,No other activity,Full-time Work,Agriculture Forestry and Fishing,Agriculture,At Home,2,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,333.818655666,434.855817029,442.345614928,305.615372247,394.661901608,0.0,354.864352589,295.391585048,354.382003487,607.118259937,Weekday,2023-24,3,Separate House,0,July,Thursday,25->29,40->44,65->69,730.5856604,943.1395233,917.9741336,749.7554985,848.2461277,0.0,759.9376353,666.2441713,733.4354024,1234.882158,Weekday
Y24H5740111P02,Y24H5740111,2,Vehicle Driver,Private,25->29,Female,Child,No Study,Yes,Community and Personal Service Workers,Carers and Aides,Paid Employee,"$2,000-$2,999 ($104,000-$155,999)","$4,000-$4,499 ($208,000-$233,999)",2,Being Purchased,Casey (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,696.78161167,749.463904,Thursday,Yes,No,No,No other activity,Full-time Work,Education and Training,Preschool and School Education,At Home,5,Yes,No,Yes,Yes,No,Yes,No,No,No,Not applicable,Yes,No,Yes,655.224155053,951.967088237,1015.023199851,844.403718598,810.547360126,0.0,690.202351314,601.344213167,631.888873363,944.775847726,Weekday,2023-24,3,Separate House,0,July,Thursday,25->29,40->44,65->69,730.5856604,943.1395233,917.9741336,749.7554985,848.2461277,0.0,759.9376353,666.2441713,733.4354024,1234.882158,Weekday
Y24H5740119P01,Y24H5740119,1,Train,Public,65->69,Male,Self,No Study,Yes,Professionals,Business Human Resource and Marketing Professionals,Paid Employee,"$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)",2,Fully Owned,Casey (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,346.716334742,826.0206217,Friday,No,Yes,No,No other activity,Part-time Work,Wholesale Trade,Wholesale Trade (NEC),At Home,10,Yes,No,Yes,Yes,Yes,No,No,No,No,Full Adult,No,No,No,335.93436581,354.717269276,433.108001479,298.887418396,451.289655851,0.0,348.260777454,332.878367112,332.811893427,668.046676407,Weekday,2023-24,2,Separate House,0,July,Friday,60->64,65->69,65->69,818.938591,917.9131674,997.8896857,851.1010746,1048.112093,0.0,827.1417867,812.385036,791.2786279,1369.766581,Weekday
Y24H5740120P01,Y24H5740120,1,Vehicle Driver,Private,60->64,Female,Self,No Study,Yes,Community and Personal Service Workers,COMMUNITY AND PERSONAL SERVICE WORKERS (NEC),Paid Employee,"$2,000-$2,999 ($104,000-$155,999)","$2,500-$2,999 ($130,000-$155,999)",1,Fully Owned,Casey (C),MELB - Outer,Greater Melbourne,MELB - Outer,Greater Melbourne,427.276622314,669.9867768,Saturday,Yes,No,No,No other activity,Full-time Work,Information Media and Telecommunications,Library and Other Information Services,At Home,4,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,452.483849177,585.067891306,487.368649735,408.642407445,569.481486282,0.0,423.831100769,384.697803295,420.930896486,561.319770081,Weekend,2023-24,1,Separate House,Missing/Refused,July,Saturday,60->64,60->64,60->64,699.0786846,825.9926439,788.6655688,633.3135711,796.4967277,0.0,670.2641881,638.9631189,681.8875085,998.3275969,Weekend
