persid,hhid,persno,primary_mode_raw,travel_mode_3,hhinc_group,hh_income_3,anzsco1,occupation_5,homesubregion_asgs_person,homeregion_asgs_person,region_3,studying,anywork,edu_status_3,agegroup,age_stage_4,totalvehs,veh_own_3,sex,relationship,owndwell,homelga,persinc,perspoststratweight,hhpoststratweight,main_journey_duration_min
Y24H5740102P02,Y24H5740102,2,Vehicle Driver,Private,"$1,250-$1,499 ($65,000-$77,999)",Medium,Professionals,Managers/Professionals,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",25->29,Young Adults,2,2+ cars,Male,Spouse,Being Rented,Casey (C),"$800-$999 ($41,600-$51,999)",652.818030841,806.3371724,25.0
Y24H5740109P02,Y24H5740109,2,Vehicle Driver,Private,"$2,000-$2,499 ($104,000-$129,999)",High,Clerical and Administrative Workers,Clerical/Service workers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",45->49,Adults,1,1 car,Female,Spouse,Being Purchased,Casey (C),"$1,000-$1,249 ($52,000-$64,999)",760.235357962,876.2877141,4.0
Y24H5740109P03,Y24H5740109,3,School Bus,Public,"$2,000-$2,499 ($104,000-$129,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Secondary,No,Currently Studying,15->19,Children,1,1 car,Male,Child,Being Purchased,Casey (C),Nil income,836.421799855,876.2877141,21.0
Y24H5740109P04,Y24H5740109,4,School Bus,Public,"$2,000-$2,499 ($104,000-$129,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Secondary,Not applicable,Currently Studying,10->14,Children,1,1 car,Male,Child,Being Purchased,Casey (C),Nil income,1756.87073088,876.2877141,21.0
Y24H5740109P05,Y24H5740109,5,Walking,Active,"$2,000-$2,499 ($104,000-$129,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Primary,Not applicable,Currently Studying,10->14,Children,1,1 car,Female,Child,Being Purchased,Casey (C),Nil income,693.990554016,876.2877141,20.0
Y24H5740110P03,Y24H5740110,3,Vehicle Passenger,Private,"$1,750-$1,999 ($91,000-$103,999)",Medium,Professionals,Managers/Professionals,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",25->29,Young Adults,1,1 car,Female,Child,Being Rented,Casey (C),"$1,750-$1,999 ($91,000-$103,999)",603.756453587,672.6834138,10.0
Y24H5740111P01,Y24H5740111,1,Vehicle Driver,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Clerical and Administrative Workers,Clerical/Service workers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",65->69,Seniors,2,2+ cars,Female,Self,Being Purchased,Casey (C),"$1,500-$1,749 ($78,000-$90,999)",348.746406172,749.463904,30.0
Y24H5740111P02,Y24H5740111,2,Vehicle Driver,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Community and Personal Service Workers,Clerical/Service workers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",25->29,Young Adults,2,2+ cars,Female,Child,Being Purchased,Casey (C),"$2,000-$2,999 ($104,000-$155,999)",696.78161167,749.463904,140.0
Y24H5740119P01,Y24H5740119,1,Train,Public,"$3,500-$3,999 ($182,000-$207,999)",High,Professionals,Managers/Professionals,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",65->69,Seniors,2,2+ cars,Male,Self,Fully Owned,Casey (C),"$3,000-$3,499 ($156,000-$181,999)",346.716334742,826.0206217,73.0
Y24H5740120P01,Y24H5740120,1,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Community and Personal Service Workers,Clerical/Service workers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",60->64,Seniors,1,1 car,Female,Self,Fully Owned,Casey (C),"$2,000-$2,999 ($104,000-$155,999)",427.276622314,669.9867768,25.0
Y24H5740123P01,Y24H5740123,1,Vehicle Driver,Private,"$1,750-$1,999 ($91,000-$103,999)",Medium,Clerical and Administrative Workers,Clerical/Service workers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",65->69,Seniors,1,1 car,Female,Self,Fully Owned,Casey (C),"$1,750-$1,999 ($91,000-$103,999)",433.329068446,931.2339557,21.0
Y24H5740129P03,Y24H5740129,3,Vehicle Driver,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Managers,Managers/Professionals,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",40->44,Adults,3,2+ cars,Male,Child,Being Purchased,Casey (C),"$1,750-$1,999 ($91,000-$103,999)",734.497298419,943.6600754,26.0
Y24H5740131P02,Y24H5740131,2,Vehicle Driver,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Managers,Managers/Professionals,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",45->49,Adults,2,2+ cars,Female,Spouse,Being Purchased,Casey (C),"$650-$799 ($33,800-$41,599)",946.335436235,1090.796564,70.0
Y24H5740131P03,Y24H5740131,3,School Bus,Public,"$4,000-$4,499 ($208,000-$233,999)",High,Sales Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Secondary,Yes,Currently Studying,15->19,Children,2,2+ cars,Male,Child,Being Purchased,Casey (C),"$1-$149 ($1-$7,799)",655.093691622,1090.796564,47.0
Y24H5740131P04,Y24H5740131,4,Vehicle Passenger,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Secondary,No,Currently Studying,15->19,Children,2,2+ cars,Female,Child,Being Purchased,Casey (C),Nil income,1154.244964347,1090.796564,10.0
Y24H5740331P01,Y24H5740331,1,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Professionals,Managers/Professionals,MELB - Inner,Greater Melbourne,Inner Melbourne,No Study,Yes,"Finished Studying, Working",60->64,Seniors,2,2+ cars,Male,Self,Fully Owned,Stonnington (C),"$2,000-$2,999 ($104,000-$155,999)",660.342969764,1089.581127,10.0
Y24H5740337P01,Y24H5740337,1,Vehicle Driver,Private,"$650-$799 ($33,800-$41,599)",Low,Clerical and Administrative Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,1,1 car,Female,Self,Being Rented,Stonnington (C),"$650-$799 ($33,800-$41,599)",1030.903333264,735.412958,30.0
Y24H5740337P02,Y24H5740337,2,Train,Public,"$650-$799 ($33,800-$41,599)",Low,Not in Work Force,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Secondary,No,Currently Studying,15->19,Children,1,1 car,Female,Sibling,Being Rented,Stonnington (C),Nil income,646.550865959,735.412958,48.0
Y24H5740340P01,Y24H5740340,1,Vehicle Driver,Private,"$800-$999 ($41,600-$51,999)",Medium,Professionals,Managers/Professionals,MELB - Inner,Greater Melbourne,Inner Melbourne,No Study,Yes,"Finished Studying, Working",55->59,Adults,1,1 car,Female,Self,Being Rented,Stonnington (C),"$800-$999 ($41,600-$51,999)",641.679404901,753.3650805,35.0
Y24H5740340P02,Y24H5740340,2,Walking,Active,"$800-$999 ($41,600-$51,999)",Medium,Not in Work Force,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Secondary,No,Currently Studying,15->19,Children,1,1 car,Male,Child,Being Rented,Stonnington (C),Nil income,600.545152127,753.3650805,25.0
Y24H5740501P03,Y24H5740501,3,Walking,Active,"$2,000-$2,499 ($104,000-$129,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Primary,Not applicable,Currently Studying,5->9,Children,1,1 car,Female,Child,Being Purchased,Wyndham (C),Nil income,308.140083574,357.1606022,5.0
Y24H5740501P04,Y24H5740501,4,Walking,Active,"$2,000-$2,499 ($104,000-$129,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Primary,Not applicable,Currently Studying,5->9,Children,1,1 car,Female,Child,Being Purchased,Wyndham (C),Nil income,308.140083574,357.1606022,5.0
Y24H5740505P01,Y24H5740505,1,Vehicle Driver,Private,"$1-$149 ($1-$7,799)",Low,Machinery Operators and Drivers,Trades/Labourers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",35->39,Adults,1,1 car,Male,Self,Being Rented,Wyndham (C),"$1-$149 ($1-$7,799)",419.509162416,423.2629917,33.0
Y24H5740505P03,Y24H5740505,3,Public Bus,Public,"$1-$149 ($1-$7,799)",Low,Not in Work Force,Not in workforce,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Not applicable,"Not Studying, Not Working",5->9,Children,1,1 car,Female,Child,Being Rented,Wyndham (C),Nil income,968.436561652,423.2629917,20.0
Y24H5740510P02,Y24H5740510,2,Train,Public,"$4,500-$4,999 ($234,000-$259,999)",High,Professionals,Managers/Professionals,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",35->39,Adults,1,1 car,Female,Spouse,Being Rented,Wyndham (C),"$1,250-$1,499 ($65,000-$77,999)",306.537486477,415.3579231,53.0
Y24H5740517P01,Y24H5740517,1,Vehicle Driver,Private,"$2,000-$2,499 ($104,000-$129,999)",High,Labourers,Trades/Labourers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",35->39,Adults,3,2+ cars,Male,Self,Being Rented,Wyndham (C),"$1,500-$1,749 ($78,000-$90,999)",871.741667124,879.542139,29.0
Y24H5740517P02,Y24H5740517,2,Vehicle Passenger,Private,"$2,000-$2,499 ($104,000-$129,999)",High,Clerical and Administrative Workers,Clerical/Service workers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",35->39,Adults,3,2+ cars,Female,Spouse,Being Rented,Wyndham (C),"$650-$799 ($33,800-$41,599)",649.109169529,879.542139,12.0
Y24H5740519P03,Y24H5740519,3,Walking,Active,"$650-$799 ($33,800-$41,599)",Low,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Secondary,No,Currently Studying,15->19,Children,3,2+ cars,Male,Child,Fully Owned,Wyndham (C),Nil income,760.612400241,739.6802725,10.0
Y24H5740522P03,Y24H5740522,3,Vehicle Passenger,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Secondary,Not applicable,Currently Studying,10->14,Children,1,1 car,Male,Child,Fully Owned,Wyndham (C),Nil income,576.411655797,285.7284818,14.0
Y24H5740525P03,Y24H5740525,3,Walking,Active,"$1,000-$1,249 ($52,000-$64,999)",Medium,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Primary,Not applicable,Currently Studying,5->9,Children,2,2+ cars,Female,Child,Fully Owned,Wyndham (C),Nil income,463.458662667,537.1880644,5.0
Y24H5740525P04,Y24H5740525,4,Walking,Active,"$1,000-$1,249 ($52,000-$64,999)",Medium,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Primary,Not applicable,Currently Studying,5->9,Children,2,2+ cars,Female,Child,Fully Owned,Wyndham (C),Nil income,463.458662667,537.1880644,5.0
Y24H5740529P03,Y24H5740529,3,Vehicle Passenger,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Primary,Not applicable,Currently Studying,5->9,Children,1,1 car,Female,Child,Fully Owned,Wyndham (C),Nil income,328.682755812,285.7284818,5.0
Y24H5740530P02,Y24H5740530,2,Vehicle Driver,Private,"$5,000-$5,999 ($260,000-$311,999)",High,Machinery Operators and Drivers,Trades/Labourers,MELB - Outer,Greater Melbourne,Outer Melbourne,No Study,Yes,"Finished Studying, Working",45->49,Adults,1,1 car,Male,Spouse,Being Rented,Wyndham (C),"$3,000-$3,499 ($156,000-$181,999)",429.658687345,330.5415627,29.0
