persid,hhid,persno,primary_mode_raw,travel_mode_3,hhinc_group,hh_income_3,anzsco1,occupation_5,homesubregion_asgs_person,homeregion_asgs_person,region_3,studying,anywork,edu_status_3,agegroup,age_stage_4,totalvehs,veh_own_3,sex,relationship,owndwell,homelga,persinc,perspoststratweight,hhpoststratweight,main_journey_duration_min
Y24H5740337P01,Y24H5740337,1,Vehicle Driver,Private,"$650-$799 ($33,800-$41,599)",Low,Clerical and Administrative Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,1,1 car,Female,Self,Being Rented,Stonnington (C),"$650-$799 ($33,800-$41,599)",1030.903333264,735.412958,30.0
Y24H5750233P01,Y24H5750233,1,Vehicle Driver,Private,"$300-$399 ($15,600-$20,799)",Low,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,1,1 car,Male,Self,Being Rented,Whitehorse (C),"$150-$299 ($7,800-$15,599)",795.260765041,693.4638144,25.0
Y24H5750233P03,Y24H5750233,3,Train,Public,"$300-$399 ($15,600-$20,799)",Low,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,1,1 car,Male,Other relative,Being Rented,Whitehorse (C),"$1-$149 ($1-$7,799)",795.260765041,693.4638144,49.0
Y24H5750333P03,Y24H5750333,3,Train,Public,"$8,000 or more ($416,000 or more)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,3,2+ cars,Male,Child,Fully Owned,Maribyrnong (C),"$1,000-$1,249 ($52,000-$64,999)",1198.378620849,1271.140947,36.0
Y24H5750333P04,Y24H5750333,4,Tram,Public,"$8,000 or more ($416,000 or more)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,3,2+ cars,Male,Child,Fully Owned,Maribyrnong (C),"$800-$999 ($41,600-$51,999)",1622.420308778,1271.140947,60.0
Y24H5750401P04,Y24H5750401,4,Vehicle Passenger,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Labourers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Female,Other relative,Being Rented,Whittlesea (C),"$150-$299 ($7,800-$15,599)",326.684065892,407.0730183,30.0
Y24H5750418P04,Y24H5750418,4,Vehicle Passenger,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Sales Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,4,2+ cars,Female,Child,Being Rented,Whittlesea (C),"$650-$799 ($33,800-$41,599)",821.004997676,880.4454977,23.0
Y24H5750420P01,Y24H5750420,1,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Professionals,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,40->44,Adults,2,2+ cars,Male,Self,Being Purchased,Whittlesea (C),"$2,000-$2,999 ($104,000-$155,999)",268.44579161,561.8029802,84.0
Y24H5750430P01,Y24H5750430,1,Vehicle Driver,Private,"$1,250-$1,499 ($65,000-$77,999)",Medium,Sales Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,35->39,Adults,2,2+ cars,Male,Self,Being Rented,Whittlesea (C),"$1,250-$1,499 ($65,000-$77,999)",233.724176394,474.1582485,63.0
Y24H5750442P02,Y24H5750442,2,Train,Public,"$2,000-$2,499 ($104,000-$129,999)",High,Community and Personal Service Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,30->34,Adults,1,1 car,Female,Spouse,Being Purchased,Whittlesea (C),"$300-$399 ($15,600-$20,799)",525.810949524,704.1463601,38.0
